post_url,creator,set_id,va,type,views,likes,comments,shares,bookmarks,engagement,engagement_rate,account_username,account_followers,account_following,account_posts,account_likes,account_verified,post_description,hashtags,mentions,content_length,sound_title,sound_author,has_sound,scraped_at,scraping_method,scraping_success,data_quality,error
https://www.tiktok.com/t/ZTMmAeEUy/,Tyra,66,Jayeerrah,NEW,196,4,0,0,0,4,2.04,tyrapullup,2917,136,198,22200,False,#foryoupage #relatable #expectations #deepthoughts ,"foryoupage, relatable, expectations, deepthoughts",,51.0,Originalton - tim®,tim®,True,2025-10-22T19:36:13.699232,api_response,True,Complete,
https://www.tiktok.com/t/ZP8Atrqrm/,Ariri,1,Maricris,REPOST,1246,18,7,0,2,25,2.01,ariripour,994,50,141,22300,False,#Relationship #viral #typ,"Relationship, viral, typ",,25.0,original sound,KanaanBrockOfficial,True,2025-10-22T19:36:21.868327,api_response,True,Complete,
https://www.tiktok.com/t/ZTMmSKRHL/,Naomi,57,Abegail,REPOST,209,5,1,0,2,6,2.87,naomigazee,2637,60,213,29900,False,#goviral #fyppppppppppppppp #trending #toryoupage,"goviral, fyppppppppppppppp, trending, toryoupage",,49.0,Seductive,Shah,True,2025-10-22T19:36:29.863340,api_response,True,Complete,
https://www.tiktok.com/t/ZP8AtHq29/,Ariri,7,Maricris,REPOST,877,60,8,3,8,71,8.1,aririsnapss,1976,33,141,43700,False,#fyp #trending #viral,"fyp, trending, viral",,21.0,Sometimes,Goldmund,True,2025-10-22T19:36:38.226173,api_response,True,Complete,
https://www.tiktok.com/t/ZP8AtHwhH/,Ariri,25,Triesha,NEW,988,108,2,0,6,110,11.13,aririmelts,1467,96,161,17900,False,,,,0.0,sonido original,M!,True,2025-10-22T19:36:46.634893,api_response,True,Complete,
https://www.tiktok.com/t/ZP8AtV1hh/,Aurelia,28,Luna,NEW,170,13,5,0,0,18,10.59,voiddaurelia,7189,85,222,62100,False,#fyp #blowthisup #relationshipgoals ,"fyp, blowthisup, relationshipgoals",,36.0,sonido original,♤MaxGame♤,True,2025-10-22T19:36:54.750776,api_response,True,Complete,
https://www.tiktok.com/t/ZP8AtjPy8/,Ariri,26,Triesha,NEW,62,3,0,0,0,3,4.84,aririflick,794,78,164,11500,False,respect goes both ways.,,,23.0,original sound,🎧,True,2025-10-22T19:37:02.858197,api_response,True,Complete,
https://www.tiktok.com/t/ZP8AtS8Ye/,Ariri,10,Maricris,REPOST,1010,85,10,1,9,96,9.5,aririgone,1349,33,127,9765,False,,,,0.0,if u use this sound your hot,editsyoulovetosee,True,2025-10-22T19:37:10.877064,api_response,True,Complete,
https://www.tiktok.com/t/ZP8AtBsNw/,Mika,3,Asle,NEW,924,62,5,10,6,77,8.33,mikaaaelf,40,34,30,681,False,#mentalhealth #men #goviral #tiktok #marriage ,"mentalhealth, men, goviral, tiktok, marriage",,46.0,son original,𝓂𝓃𝒶𝒶,True,2025-10-22T19:37:18.919538,api_response,True,Complete,
https://www.tiktok.com/t/ZP8At4Ajh/,Megan,103,Cyndi,NEW,579,47,4,0,3,51,8.81,meganxwild,6510,485,413,65000,False,#hot #foryoupage #singlelife #goviral ,"hot, foryoupage, singlelife, goviral",,38.0,YUP AND I DO,Zeddy Will,True,2025-10-22T19:37:26.941338,api_response,True,Complete,
